,Type of territory,Borough / Linked city,Stakes: Financial support?,Stakes: Maintenance of operations?,Stakes: Taxation (taxes and levies)?,Stakes: Human resources?,Stakes: Regulation?,Stakes: Marketing?,Stakes: Health and safety?,Stakes: Search for sanitary equipment?,Stakes: Space planning?,Stakes: Permit for outdoor terraces?,Stakes: Other?,Interest in the emergency aid program?,Social media presence?,Presence on Facebook?,Presence on Twitter?,Presence on Instagram?,Presence on LinkedIn?,Do you sell online?,Online sales channel,Do you know the urban delivery service?,Are you interested in the urban delivery service?,Interest in the support program for the digital transformation of companies?,Do you offer a delivery service?,Are you satisfied with your current delivery service?,Would you be interested in the urban delivery service (by bike) set up by the City of Montreal and its partners if you had access?,Was the information we gave you useful to you?,label
372,1,26,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,1,1
1817,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,3,4,2,5,4,1,1,0
1126,1,12,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,2,3,3,4,3,0,2,3,1,2
516,1,2,1,0,1,0,0,1,1,0,1,0,0,1,2,0,0,0,0,1,0,1,2,0,4,3,5,1,1
1110,1,11,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,0,5,4,6,1,1
1792,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,3,1,4,1,1,1
1529,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,0,5,4,0,1,1
1726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,3,4,1,1,4,1,0,1
1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,4,3,4,3,1,4,1,1,1
1369,1,18,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,3,4,3,3,4,0,2,1
906,1,15,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,3,3,4,3,5,1,1
1806,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
898,1,20,1,1,0,0,0,1,0,0,1,0,0,2,2,0,0,0,0,3,3,1,2,4,4,3,5,1,1
1570,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,1,3
625,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,3
835,1,15,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
1491,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,2,3,4,2,0,2,0,1,1
531,1,23,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,0,3,0,4,3,5,2,3
543,1,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,3,5,1,1
1363,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,1,2,4,3,1,2
1384,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,2,1,4,1,1,2
1320,1,13,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,3,3,4,3,2,5,3,1,2
1639,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
34,1,11,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,3
1790,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
1367,1,26,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
1249,1,23,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,3,4,3,3,5,3,1,2
91,1,11,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,2,2,0,0,4,3,5,1,2
1106,1,21,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,2,3,4,0,0,2,3,1,1
1178,1,17,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,3,0,2,1,1,1
1405,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,4,0,1,4,1,1,1
979,1,21,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,1,2,3,4,3,5,1,1
1097,1,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,3,0,2,0,1,1
1057,1,21,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,3,4,1,4,3,5,1,1
1679,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,0,1,4,1,1,1
1155,1,21,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
110,1,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,1,2,1,4,3,5,1,1
1279,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,3,4,0,3,5,1,1,2
1267,1,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,4,0,1,4,1,2,1
1628,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,0,1,4,1,1,1
1390,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
1690,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,3,1,4,1,1,1
282,1,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,4,3,5,1,0
441,1,26,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,0,3,3,4,3,5,1,2
209,1,26,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,3,4,3,5,1,1
1241,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,3,4,0,2,5,1,1,1
251,1,26,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,3,0,4,3,5,1,1
1875,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,3,4,0,1,4,1,1,1
507,1,15,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,4,3,4,3,5,1,1
987,1,24,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,1,2,3,4,3,5,1,1
96,1,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,3,3,4,3,5,1,2
359,2,27,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,2,0,3,2,4,3,5,1,0
1711,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,0,1,4,1,1,1
579,2,16,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,2,5,0,3,3,4,3,5,1,1
614,1,18,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,3,4,3,5,1,1
442,1,26,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,2,1,2,2,4,3,5,1,1
1344,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
1214,2,6,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,3,3,3,4,3,5,4,3,1,2
1728,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
887,1,22,1,0,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,3,3,1,2,4,4,3,5,1,1
253,1,26,1,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,2,1,2,2,4,3,5,1,1
345,1,26,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,2,1,2,3,4,3,5,1,0
1882,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,3,4,0,1,4,1,1,1
706,1,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,3
678,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,3,2,4,3,5,1,1
365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,2,4,3,5,0,3
1125,1,11,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
481,1,25,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
629,1,23,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,1,3,4,3,5,1,1
1435,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,1,3
1131,1,25,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,2,4,0,2,2
1834,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,2
27,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,1,4,3,5,1,2
951,1,9,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,4,3,4,3,4,3,5,1,1
218,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,4,3,5,1,2
970,1,12,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,1,1
660,1,4,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,2,4,1,2,0,4,3,5,1,1
961,1,8,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,2,1,2,3,4,3,5,1,2
1349,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,3,4,4,3,5,0,1,1
17,1,4,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2,1,0,3,3,4,3,5,1,0
1356,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
395,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,4,3,5,1,2
587,2,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,2,4,3,5,1,1
1659,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,4,3,4,1,1,4,3,1,1
1218,1,17,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,2,3,4,3,0,2,3,1,2
363,1,11,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,2,0,0,4,3,5,1,2
1879,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,0,1,4,1,1,1
746,1,18,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1,2,0,4,3,5,1,1
94,1,17,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,2,0,1,2,4,3,5,1,1
1660,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,3,4,0,1,4,1,1,2
766,2,27,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,3,4,3,5,1,1
782,2,14,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,3,4,3,5,1,1
1184,1,11,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,0,3,5,0,1,1
818,1,25,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,3
562,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,4,0,1,0,4,3,5,1,0
944,2,19,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,2,2,3,3,4,3,5,1,1
314,1,24,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,2,0,1,0,4,3,5,1,1
1258,2,7,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
1869,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,0,1,4,1,1,1
1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,3,4,1,3,5,3,0,1
1779,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,4,2,1,4,1,0,1
1303,1,21,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,0,0,2,1,1,1
947,1,4,1,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,3,3,0,3,4,4,3,5,1,1
155,1,26,1,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,2,6,2,1,3,4,3,5,1,1
914,1,4,1,0,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,3,3,1,2,3,4,3,5,1,1
1673,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,0,1,4,1,1,1
877,1,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,3,4,3,5,1,1
595,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,3,3,4,3,5,1,1
339,1,21,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,2,0,1,4,3,5,1,1
1312,1,4,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,3,4,3,0,2,3,1,2
1223,1,21,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,3,5,6,1,1
72,1,11,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,2,0,3,0,4,3,5,1,2
398,1,21,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,1,2,3,4,3,5,1,1
1365,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
1743,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
119,1,26,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,3,4,4,3,5,2,3
768,1,4,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,3,4,3,5,1,1
267,1,24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,3,4,3,5,1,1
160,1,17,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,2,0,3,3,4,3,5,1,1
401,1,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,4,3,5,1,1
1086,1,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,3,0,2,0,1,0
735,1,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,4,3,5,0,1
1544,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,0,1,4,1,1,1
821,1,4,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,1,2,3,4,3,5,1,1
1268,1,26,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
1275,1,18,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,2,2,4,0,1,1
1852,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
797,1,9,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,2,0,4,3,5,1,1
566,1,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,1,1,4,3,5,1,1
1246,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,3,4,3,3,4,6,1,3
631,1,18,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,2,0,4,3,5,1,1
1846,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
923,1,13,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,3,1,2,3,4,3,5,1,1
361,1,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,3,3,4,3,5,1,2
1463,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
1714,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,0,1,4,1,1,1
1323,1,11,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,1,3
1837,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,2,3,4,0,1,4,1,1,1
1058,1,21,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,1,4,3,5,1,1
523,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,3,3,4,3,5,1,1
1587,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,3,0,2,3,1,1
654,1,13,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,1,3
462,1,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,3,4,3,5,1,1
723,1,23,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,3,1,4,3,5,1,1
1725,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,3,1,3,1,1
681,1,25,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,4,0,1,1,4,3,5,1,1
1864,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,3,4,3,2,5,3,2,2
1730,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
933,1,15,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,2,3,4,3,5,1,1
880,2,19,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,0,3,3,4,3,5,1,1
519,1,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,1
1749,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
1448,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,3,4,1,0,2,0,1,1
1053,1,21,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
53,1,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,0,3,1,4,3,5,1,1
497,1,4,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,2,4,0,3,3,4,3,5,1,1
620,1,4,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,4,1,2,3,4,3,5,1,1
1796,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
1284,1,11,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,3,4,0,3,1,1,2,2
1847,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,3,5,4,1,2,3
454,1,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,2,4,3,5,1,2
1040,1,15,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,2,4,3,5,1,2
1413,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,2,3,1,0,1,2
1741,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,4,3,4,3,0,2,3,1,2
1653,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,3,4,1,3,1,0,1,1
1177,1,4,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,3,1,4,3,1,1
636,2,5,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,0,4,3,5,1,1
1142,1,22,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,3,4,3,0,2,3,1,2
429,1,26,1,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1,2,4,3,5,1,1
171,1,26,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,1,2,3,4,3,5,1,0
1777,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
1626,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,0,1,4,0,1,1
1776,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,2
471,1,26,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,2,4,0,3,0,4,3,5,1,2
1727,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
90,1,17,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,2,0,3,3,4,3,5,1,2
1520,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,3,4,2,1,4,6,2,1
1641,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,0,1,4,1,1,1
381,1,26,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
415,1,26,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,2,3,4,3,5,1,1
675,1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,4,0,1,1,4,3,5,1,1
861,1,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,0
1545,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,1,1,4,1,1,2
1341,1,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,0,3,5,0,1,1
663,1,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,3,4,3,5,1,1
977,1,20,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,2,4,3,5,1,2
1385,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,2,4,3,4,3,3,5,3,1,2
1503,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,0,1,4,0,1,1
975,1,18,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,2,4,3,5,1,1
966,1,21,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,0,3,3,4,3,5,1,1
1441,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,0,0,2,3,1,1
852,2,19,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,3
1364,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,3,4,3,5,4,1,1,0
900,1,4,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,2,1,2,3,4,3,5,1,1
1508,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,3,3,5,6,1,1
1141,1,11,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
1054,2,6,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
1760,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,0,1,4,1,1,1
400,1,26,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,3,1,4,3,5,2,1
1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,4,3,4,1,2,5,0,1,2
1704,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,3,4,3,1,4,1,1,1
1283,1,20,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
374,1,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,4,0,3,0,4,3,5,1,1
1668,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,0,1,4,1,1,1
420,1,11,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,2,1,2,0,4,3,5,1,1
785,1,13,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,1,1
1063,1,21,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,3,3,4,3,5,1,1
563,1,4,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,2,0,4,3,5,1,1
180,1,26,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,3,3,4,3,5,1,2
426,1,26,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,3,3,3,4,3,4,3,5,1,2
621,1,18,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,1,3
1633,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,3,4,1,1,4,3,1,1
1440,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,0,0,2,3,1,1
628,1,9,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,2,3,2,4,3,5,1,1
148,1,26,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,2,2,0,2,4,3,5,1,1
1326,1,23,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,3,4,0,3,1,1,1,1
1569,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,2,4,3,4,0,1,4,1,1,2
300,1,26,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,1,2,4,3,5,1,1
884,1,23,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,2,3,4,3,5,1,1
1652,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,0,1,4,1,1,1
1548,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,2,3,4,3,2,5,1,1,1
1452,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,3,0,2,3,1,0
1433,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,3,1,4,1,1,2
1200,1,26,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
1443,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,3,4,3,1,4,1,1,1
