,Answer ID,Date,Phase,Type of territory,Borough / Linked city,Trade status,Stakes: Financial support?,Stakes: Maintenance of operations?,Stakes: Taxation (taxes and levies)?,Stakes: Human resources?,Stakes: Regulation?,Stakes: Marketing?,Stakes: Health and safety?,Stakes: Search for sanitary equipment?,Stakes: Space planning?,Stakes: Permit for outdoor terraces?,Stakes: Other?,Interest in the emergency aid program?,Social media presence?,Presence on Facebook?,Presence on Twitter?,Presence on Instagram?,Presence on LinkedIn?,Do you sell online?,Online sales channel,Do you know the urban delivery service?,Are you interested in the urban delivery service?,Interest in the support program for the digital transformation of companies?,Do you offer a delivery service?,Are you satisfied with your current delivery service?,Would you be interested in the urban delivery service (by bike) set up by the City of Montreal and its partners if you had access?,Was the information we gave you useful to you?
309,310,2020-05-21,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
310,311,2020-05-21,1,Arrondissement,Le Sud-Ouest,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
311,312,2020-05-21,1,Arrondissement,Le Plateau-Mont-Royal,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
312,313,2020-05-21,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Non,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
313,314,2020-05-21,1,Arrondissement,Verdun,Fermé,Oui,,,,,,,,,,,Oui,Non,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
314,315,2020-05-21,1,Arrondissement,Verdun,Ouvert,,,,Oui,,Oui,Oui,,,,Oui,Non,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Non,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
315,316,2020-05-21,1,Arrondissement,Le Sud-Ouest,Ouvert,Oui,,,,,Oui,,,,,,Oui,Oui,Oui,,Oui,,Non applicable,Non applicable,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
316,317,2020-05-21,1,Arrondissement,Rosemont-La Petite-Patrie,Partiellement ouvert,Oui,,,,,,,Oui,Oui,,,Oui,Oui,Oui,,,,Non applicable,Non applicable,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
317,318,2020-05-21,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,Oui,,,,,Oui,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
318,319,2020-05-21,1,Ville liée,Westmount,Partiellement ouvert,,,,Oui,,,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Site transactionnel,Oui,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
319,320,2020-05-21,1,Ville liée,Westmount,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
320,321,2020-05-21,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non applicable,Non applicable,Non applicable,Non applicable,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
321,322,2020-05-21,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,Oui,,,,,Oui,,,,,,Oui,Oui,Oui,,,,Oui,"Système maison, disponible avant la crise",Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
322,323,2020-05-21,1,Arrondissement,Le Sud-Ouest,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non applicable,Non applicable,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
323,324,2020-05-21,1,Arrondissement,Verdun,Partiellement ouvert,Oui,,Oui,,,Oui,Oui,,Oui,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
324,325,2020-05-21,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,,,,,,,,,,,,Non,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
325,326,2020-05-21,1,Arrondissement,Verdun,Partiellement ouvert,Oui,,Oui,,,Oui,Oui,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
326,327,2020-05-21,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,Oui,,,Oui,Oui,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
327,328,2020-05-21,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,Oui,,,,,,,Oui,Non,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
328,329,2020-05-21,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,,Non,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
329,330,2020-05-21,1,Arrondissement,Rosemont-La Petite-Patrie,Fermé,Oui,,,,,Oui,Oui,Oui,Oui,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
330,331,2020-05-21,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Réponse inconnue,Réponse inconnue,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
331,332,2020-05-21,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,,,,Oui,,,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
332,333,2020-05-21,1,Arrondissement,Rosemont-La Petite-Patrie,Fermé,Oui,,,,,,Oui,,Oui,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
333,334,2020-05-21,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,,Non,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
334,335,2020-05-21,1,Arrondissement,Rosemont-La Petite-Patrie,Fermé,Oui,,Oui,,,Oui,Oui,Oui,Oui,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
335,336,2020-05-21,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Non,Non,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
336,337,2020-05-21,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,,,,Oui,"Oui, à l'aide d'un système maison, mais seulement depuis la crise",Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
337,338,2020-05-21,1,Ville liée,Westmount,Fermé,Oui,,,,,,Oui,Oui,Oui,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
338,339,2020-05-21,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,Oui,,Oui,,Oui,,Oui,Oui,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
339,340,2020-05-22,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Oui,Je l'utilise déjà,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
340,341,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,,,Oui,,,Non,Sans réponse,,,,,Non applicable,Non applicable,Non,Non,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
341,342,2020-05-22,1,Arrondissement,Le Sud-Ouest,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
342,343,2020-05-22,1,Arrondissement,Rosemont-La Petite-Patrie,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Oui,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
343,344,2020-05-22,1,Ville liée,Westmount,Fermé,,,,,,,Oui,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
344,345,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,Oui,,,,,,,Oui,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
345,346,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,Oui,Oui,Oui,,,Oui,Oui,,Oui,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
346,347,2020-05-22,1,Ville liée,Westmount,Partiellement ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Oui,"Système maison, disponible avant la crise",Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
347,348,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,,Oui,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
348,349,2020-05-22,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,Oui,,,Oui,,Oui,,,Oui,,Oui,Oui,Oui,Oui,,,,Oui,"Oui, à l'aide d'un système maison, mais seulement depuis la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
349,350,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,Oui,,,,,,Oui,Non,,,,,Non applicable,Non applicable,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
350,351,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,Oui,,,Oui,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
351,352,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,,,,,,Sans réponse,Non,,,,,Non applicable,Non applicable,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
352,353,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,,,,,,Sans réponse,Non,,,,,Non applicable,Non applicable,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
353,354,2020-05-22,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non applicable,Non applicable,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
354,355,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,Oui,,,Oui,,,Sans réponse,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
355,356,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,,,,,,Non,Oui,Oui,,,,Non,Pas de vente en ligne,Oui,Non,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
356,357,2020-05-22,1,Ville liée,Westmount,Fermé,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,"Oui, à l'aide d'un système maison, mais seulement depuis la crise",Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
357,358,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,,,,,,,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
358,359,2020-05-22,1,Arrondissement,Rosemont-La Petite-Patrie,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
359,360,2020-05-22,1,Ville liée,Westmount,Fermé,Oui,,,,Oui,Oui,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
360,361,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,,,,,,Oui,,,,,,Oui,Non,,,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
361,362,2020-05-22,1,Arrondissement,Le Sud-Ouest,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
362,363,2020-05-25,1,Ville liée,Westmount,Fermé,Oui,,,,,,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Non,Non,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
363,364,2020-05-25,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Oui,Je l'utilise déjà,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
364,365,2020-05-25,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
365,366,2020-05-25,1,,,Statut inconnu,,,,,,,,,,,,Non,Sans réponse,,,,,Non applicable,Non applicable,Non,Non,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
366,367,2020-05-25,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
367,368,2020-05-25,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
368,369,2020-05-25,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
369,370,2020-05-25,1,Arrondissement,Rosemont-La Petite-Patrie,Statut inconnu,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
370,371,2020-05-25,1,Arrondissement,Rosemont-La Petite-Patrie,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
371,372,2020-05-25,1,Arrondissement,Rosemont-La Petite-Patrie,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
372,373,2020-05-25,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
373,374,2020-05-25,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,"Système maison, disponible avant la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
374,375,2020-05-25,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,,Non,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
375,376,2020-05-25,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,Oui,,Oui,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
376,377,2020-05-25,1,Arrondissement,Outremont,Partiellement ouvert,Oui,,,Oui,Oui,Oui,Oui,,Oui,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
377,378,2020-05-25,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,Oui,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
378,379,2020-05-25,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
379,380,2020-05-25,1,Arrondissement,Ahuntsic-Cartierville,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Non,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
380,381,2020-05-25,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
381,382,2020-05-25,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,,Oui,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
382,383,2020-05-25,1,Arrondissement,Ahuntsic-Cartierville,Statut inconnu,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
383,384,2020-05-25,1,Arrondissement,Rosemont-La Petite-Patrie,Partiellement ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
384,385,2020-05-25,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,,Sans réponse,Oui,Oui,,Oui,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
385,386,2020-05-25,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,Oui,,,,,Oui,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
386,387,2020-05-25,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
387,388,2020-05-25,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,Oui,Oui,Oui,,,Oui,Oui,,Oui,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
388,389,2020-05-26,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,Oui,,,,,,,,Oui,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
389,390,2020-05-26,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
390,391,2020-05-26,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,Oui,Oui,,,,,Oui,,Oui,,,Non,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Non applicable,Non applicable,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
391,392,2020-05-26,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,,,,,,Oui,Oui,,,,,Oui,"Oui, à l'aide d'un système maison, mais seulement depuis la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
392,393,2020-05-26,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non,Pas de vente en ligne,Oui,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
393,394,2020-05-26,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,"Système maison, disponible avant la crise",Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
394,395,2020-05-26,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
395,396,2020-05-26,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
396,397,2020-05-26,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Non,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
397,398,2020-05-26,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Oui,Je l'utilise déjà,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
398,399,2020-05-26,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,Oui,,,,,Oui,Oui,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
